Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Weekly_Sales_Original,Weekly_Sales_Log,Year,Month,Week,DayOfYear,Quarter,Is_Month_Start,Is_Month_End,Season,Season_Encoded,Is_Holiday_Season,Sales_Lag_1,Sales_Lag_2,Sales_Lag_4,Sales_Lag_8,Sales_Lag_52,Sales_RollMean_4,Sales_RollMean_8,Sales_RollMean_12,Sales_RollStd_4,Sales_Momentum,Store_Mean_Sales,Store_Std_Sales,Store_Max_Sales,Store_Min_Sales,Store_Rank,Sales_vs_Store_Avg
1,2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,1606629.58,14.289649736525519,2011,2,5,35,1,0,0,Winter,0,0,1316899.31,1327405.42,1444732.28,1682614.26,1643690.9,1370012.7425,1601121.2962500001,1607574.3275,59611.18760559322,-10506.10999999987,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.033026656128943
1,2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,1649614.93,14.316053049084722,2011,2,6,42,1,0,0,Winter,0,0,1606629.58,1316899.31,1391013.96,1891034.93,1641957.44,1410487.0675,1591623.2112500002,1616920.1683333332,134799.00547446244,289730.27,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.0606652686167277
1,2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,1686842.78,14.338369754987733,2011,2,7,49,1,0,0,Winter,0,0,1649614.93,1606629.58,1327405.42,2387950.2,1611968.17,1475137.31,1561445.7112500002,1630739.3975,177573.11444171303,42985.34999999986,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.084601938200746
1,2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,1456800.28,14.19175368603326,2011,2,8,56,1,0,0,Winter,0,0,1686842.78,1649614.93,1316899.31,1367320.01,1409727.59,1564996.65,1473807.28375,1608340.9533333334,168614.2774516193,37227.85000000009,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9366897887539877
1,2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,1636263.41,14.307926402890157,2011,3,9,63,1,0,0,Spring,1,0,1456800.28,1686842.78,1606629.58,1444732.28,1554806.68,1599971.8924999998,1484992.3175000001,1600738.1616666664,100918.14784923608,-230042.5,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.0520805417876358
1,2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,1553191.63,14.255823131785899,2011,3,10,70,1,0,0,Spring,1,0,1636263.41,1456800.28,1649614.93,1391013.96,1439541.59,1607380.35,1508933.7087500002,1596875.5908333333,102642.7886173674,179463.1299999999,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9986672571199408
1,2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,1576818.06,14.270920122520295,2011,3,11,77,1,0,0,Spring,1,0,1553191.63,1636263.41,1686842.78,1327405.42,1472515.79,1583274.525,1529205.9175,1568721.9825,100722.259369,-83071.78000000003,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.013858519799895
1,2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,1541102.38,14.248009198359659,2011,3,12,84,1,0,0,Spring,1,0,1576818.06,1553191.63,1456800.28,1316899.31,1404429.92,1555768.3450000002,1560382.4975,1501127.6375,74663.38536161272,23626.430000000168,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9908941414882674
1,2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,1495064.75,14.217680743772945,2011,4,13,91,2,1,0,Spring,1,0,1541102.38,1576818.06,1636263.41,1606629.58,1594968.28,1576843.87,1588407.8812499999,1515609.5016666667,42298.79810902612,-35715.68000000017,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9612929816646063
1,2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,1614259.35,14.294387422114434,2011,4,14,98,2,0,0,Spring,1,0,1495064.75,1541102.38,1553191.63,1649614.93,1545418.53,1541544.205,1574462.2774999999,1519803.8741666665,34353.27399302004,-46037.62999999989,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.0379324264995675
1,2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,1559889.0,14.260125863919061,2011,4,15,105,2,0,0,Spring,1,0,1614259.35,1495064.75,1576818.06,1686842.78,1466058.28,1556811.135,1570042.83,1538407.656666667,50859.137162884435,119194.6000000001,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.0029735152780648
1,2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,1564819.81,14.263281876998393,2011,4,16,112,2,0,0,Spring,1,0,1559889.0,1614259.35,1541102.38,1456800.28,1391256.12,1552578.87,1554173.6075,1557781.2883333333,49320.392792910694,-54370.35000000009,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.006143915119892
1,2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,1455090.69,14.19057947378436,2011,4,17,119,2,0,0,Spring,1,0,1564819.81,1559889.0,1495064.75,1636263.41,1425100.71,1558508.2275,1567676.0487499998,1578441.33,48904.68656360464,4930.810000000056,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9355905608653466
1,2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,1629391.28,14.303717668907108,2011,5,18,126,2,0,0,Spring,1,0,1455090.69,1564819.81,1614259.35,1553191.63,1603955.12,1548514.7125,1545029.4587500002,1565813.0891666666,66946.83452985478,-109729.12000000011,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.0476619168832049
1,2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,1604775.58,14.288495102364475,2011,5,19,133,2,0,0,Spring,1,0,1629391.28,1455090.69,1559889.0,1576818.06,1494251.5,1552297.695,1554554.415,1564127.785,72127.32710260303,174300.59000000008,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.0318345758608436
1,2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,1428218.27,14.171938960514176,2011,5,20,140,2,0,0,Spring,1,0,1604775.58,1629391.28,1564819.81,1541102.38,1399662.07,1563519.34,1558049.105,1557288.8516666666,77027.38296939983,-24615.699999999953,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9183121996797569
1,2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,1466046.67,14.198080677953271,2011,5,21,147,2,0,0,Spring,1,0,1428218.27,1604775.58,1455090.69,1495064.75,1432069.95,1529368.955,1543938.59125,1554907.0175,102370.80690586701,-176557.31000000006,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9426350093959255
1,2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,1635078.41,14.307201929941403,2011,6,22,154,2,0,0,Summer,2,0,1466046.67,1428218.27,1629391.28,1614259.35,1615524.71,1532107.95,1540311.33125,1540722.2891666668,99836.18093564716,37828.39999999991,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.0513186134609378
1,2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,1588948.32,14.278583550737093,2011,6,23,161,2,0,0,Summer,2,0,1635078.41,1466046.67,1604775.58,1559889.0,1542561.09,1533529.7325,1542913.71375,1547546.1875,101706.39531884459,169031.74,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.0216580039384695
1,2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,1532114.86,14.242160253054978,2011,6,24,168,2,0,0,Summer,2,0,1588948.32,1635078.41,1428218.27,1564819.81,1503284.06,1529572.9175,1546546.1287500001,1548557.0424999997,98260.19211085142,-46130.08999999985,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9851153684293947
1,2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,1438830.15,14.179341640555348,2011,6,25,175,2,0,0,Summer,2,0,1532114.86,1588948.32,1466046.67,1455090.69,1422711.6,1555547.065,1542458.01,1547808.0825000003,73030.28506357533,-56833.45999999996,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9251353996557223
1,2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,1488538.09,14.213305720430062,2011,7,26,182,3,1,0,Summer,2,0,1438830.15,1532114.86,1635078.41,1629391.28,1492418.14,1548742.935,1540425.4425000001,1543121.8658333335,84513.5105789499,-93284.7100000002,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9570964861939513
1,2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,1534849.64,14.2439436313376,2011,7,27,189,3,0,0,Summer,2,0,1488538.09,1438830.15,1588948.32,1604775.58,1546074.18,1512107.855,1522818.79375,1532645.0941666665,63848.500850862445,49707.94000000018,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9868737704119153
1,2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,1455119.97,14.190599596025189,2011,7,28,196,3,0,0,Summer,2,0,1534849.64,1488538.09,1532114.86,1428218.27,1448938.92,1498583.185,1514078.05125,1530558.4808333332,45132.98170164172,46311.549999999814,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9356093872462797
1,2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,1396926.82,14.14978596904457,2011,7,29,203,3,0,0,Summer,2,0,1455119.97,1534849.64,1438830.15,1466046.67,1385065.2,1479334.4625000001,1517440.76375,1521416.8275,42401.189724443655,-79729.66999999993,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.8981925016726244
1,2011-07-29,1352219.79,0,86.83,3.682,215.4834482,7.962,1352219.79,14.117258828465056,2011,7,30,210,3,0,0,Summer,2,0,1396926.82,1455119.97,1488538.09,1635078.41,1371986.6,1468858.63,1508800.7825,1516569.8383333331,58037.43221744261,-58193.14999999991,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.869446887698334
1,2011-08-05,1624383.75,0,91.65,3.684,215.544618,7.962,1624383.75,14.300639686668458,2011,8,31,217,3,0,0,Summer,2,0,1352219.79,1396926.82,1534849.64,1588948.32,1605491.78,1434779.0550000002,1473443.455,1493472.2141666666,78902.25754504606,-44707.03000000003,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.0444421878082768
1,2011-08-12,1525147.09,0,90.76,3.638,215.6057878,7.962,1525147.09,14.237602071505675,2011,8,32,224,3,0,0,Summer,2,0,1624383.75,1352219.79,1455119.97,1532114.86,1508237.76,1457162.5825,1477872.88375,1495106.2283333333,119175.5398666774,272163.95999999996,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9806352491577356
1,2011-08-19,1530761.43,0,89.94,3.554,215.6693107,7.962,1530761.43,14.241276489509747,2011,8,33,231,3,0,0,Summer,2,0,1525147.09,1624383.75,1396926.82,1438830.15,1513080.49,1474669.3625,1477001.9125,1503183.63,123828.10601510033,-99236.65999999992,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.984245143403907
1,2011-08-26,1464693.46,0,87.96,3.523,215.7332258,7.962,1464693.46,14.197157218954738,2011,8,34,238,3,0,0,Summer,2,0,1530761.43,1525147.09,1352219.79,1488538.09,1449142.92,1508128.0150000001,1488493.3225,1508576.5266666666,113467.60320528776,5614.339999999851,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.941764925825486
1,2011-09-02,1550229.22,0,87.83,3.533,215.7971409,7.962,1550229.22,14.253914006898343,2011,9,35,245,3,0,0,Fall,3,0,1464693.46,1530761.43,1624383.75,1534849.64,1540163.53,1536246.4324999999,1485512.74375,1494377.7808333335,65932.52931605662,-66067.96999999997,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9967624941711701
1,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,1540471.24,14.247599576733158,2011,9,36,252,3,0,0,Fall,3,0,1550229.22,1464693.46,1525147.09,1455119.97,1507460.69,1517707.8,1487435.19125,1491151.1891666667,36940.958732966385,85535.76000000001,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9904883326746706
1,2011-09-16,1514259.78,0,79.94,3.526,216.0410526,7.962,1514259.78,14.23043794385368,2011,9,37,259,3,0,0,Fall,3,0,1540471.24,1550229.22,1530761.43,1396926.82,1430378.67,1521538.8375,1498104.1,1491847.5541666665,38721.342383566014,-9757.979999999981,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9736349538914557
1,2011-09-23,1380020.27,0,75.8,3.467,216.3758246,7.962,1380020.27,14.137609470058086,2011,9,38,266,3,0,0,Fall,3,0,1514259.78,1540471.24,1464693.46,1352219.79,1351791.03,1517413.425,1512770.72,1498133.3566666667,38287.85456008505,-26211.459999999963,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.887321970574114
1,2011-09-30,1394561.83,0,79.69,3.355,216.7105965,7.962,1394561.83,14.148091540610183,2011,9,39,273,3,0,1,Fall,3,0,1380020.27,1514259.78,1550229.22,1624383.75,1453329.5,1496245.1275,1516245.78,1489090.205,78957.74497687885,-134239.51,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.8966718663364579
1,2011-10-07,1630989.95,0,69.31,3.285,217.0453684,7.866,1630989.95,14.304698332844655,2011,10,40,280,4,0,0,Fall,3,0,1394561.83,1380020.27,1540471.24,1525147.09,1508239.93,1457328.28,1487518.04,1477399.5541666665,81792.63036397507,14541.560000000056,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,1.0486898257085568
1,2011-10-14,1493525.93,0,71.74,3.274,217.3552733,7.866,1493525.93,14.216650947945439,2011,10,41,287,4,0,0,Fall,3,0,1630989.95,1394561.83,1514259.78,1530761.43,1459409.1,1479957.9575,1500748.3975,1492055.3858333335,117285.00580521044,236428.11999999988,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9603035550420836
1,2011-10-21,1502562.78,0,63.71,3.353,217.5159762,7.866,1502562.78,14.222683393741804,2011,10,42,294,4,0,0,Fall,3,0,1493525.93,1630989.95,1380020.27,1464693.46,1345454.0,1474774.4949999999,1496093.96,1500105.3116666668,115711.30667479933,-137464.02000000002,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9661140461805817
1,2011-10-28,1445249.09,0,66.57,3.372,217.6766791,7.866,1445249.09,14.183792937217683,2011,10,43,301,4,0,0,Fall,3,0,1502562.78,1493525.93,1394561.83,1550229.22,1384209.22,1505410.1225,1500827.625,1512633.8941666668,96965.59255011339,9036.850000000093,1555264.3975524476,155980.76776119994,2387950.2,1316899.31,1216,0.9292626335910595
